date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:18	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222de0d20f62cd4b958876fce65e321f0c%22	https://thecoffeehouse.com/pages/1000683287	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683287	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:19	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2293ccd8fee64c4c559c3141e463aacd25%22	https://thecoffeehouse.com/pages/1000716873	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000716873	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:20	107332/107332	---MCZ	200	added ('OK')	text/javascript	etag:cbc6013bb2eeee269197cfbcfe0d1818--gzip	https://sp.zalo.me/plugins/sdk.js	D:/Httrack/Demo1/sp.zalo.me/plugins/sdk.js	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:22	19604/19604	---MCZ	200	added ('OK')	text/css	etag:W/%22c77df2e461c3247cbccd141a126ac2d7%22	http://theme.hstatic.net/1000075078/1000989727/14/component.css?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/component9c55.css	(from https://thecoffeehouse.com/products/cloudfee-hanh-nhan-nuong)
21:40:22	24893/24893	---MCZ	200	added ('OK')	text/css	etag:W/%2276a15b5cb15bbcedac23aabe7be9434d%22	http://theme.hstatic.net/1000075078/1000989727/14/carousel.css?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/carousel9c55.css	(from https://thecoffeehouse.com/products/cloudfee-hanh-nhan-nuong)
21:40:23	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	D:/Httrack/Demo1/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://thecoffeehouse.com/products/cloudfee-hanh-nhan-nuong)
21:40:23	146/146	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c4b9927f66444b0a6b764e74de5d00bf%22	http://theme.hstatic.net/1000075078/1000989727/14/component.button.js?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/component.button9c55.js	(from https://thecoffeehouse.com/products/cloudfee-hanh-nhan-nuong)
21:40:25	144793/144793	---MCZ	200	added ('OK')	text/html	etag:W/%22dd58b86f1e9143c6a25c4b1e36e20b08%22	https://thecoffeehouse.com/collections/san-pham-hot-trang-chu	D:/Httrack/Demo1/thecoffeehouse.com/collections/san-pham-hot-trang-chu.html	(from https://thecoffeehouse.com/products/cloudfee-hanh-nhan-nuong)
21:40:25	19307/19307	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e138e9a4a155bfc0f16a67bb4e269aa8%22	http://theme.hstatic.net/1000075078/1000989727/14/component.product-info.js?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/component.product-info9c55.js	(from https://thecoffeehouse.com/products/cloudfee-hanh-nhan-nuong)
21:40:29	33271/33271	---M--	200	added ('OK')	image/jpeg	etag:%22a2a492f35b7d20f06d20799cd26b27b6%22	http://product.hstatic.net/1000075078/product/1675355354_bg-tch-sua-da-no_7d616f5963074582a841dac3e3c6d89e_grande.jpg	D:/Httrack/Demo1/product.hstatic.net/1000075078/product/1675355354_bg-tch-sua-da-no_7d616f5963074582a841dac3e3c6d89e_grande.jpg	(from https://thecoffeehouse.com/products/the-coffee-house-sua-da)
21:40:37	172331/172331	---M--	200	added ('OK')	image/png	etag:%22c3f8c6be2bb6de82f55f16169316181f%22	http://product.hstatic.net/1000075078/product/1675357918_cloudfee-hanh-nhan-nuong-min_288fb4d6de6b46028a4c0e00b7e3efca_grande.png	D:/Httrack/Demo1/product.hstatic.net/1000075078/product/1675357918_cloudfee-hanh-nhan-nuong-min_288fb4d6de6b46028a4c0e00b7e3efca_grande.png	(from https://thecoffeehouse.com/products/cloudfee-hanh-nhan-nuong)
21:40:43	25821/25821	---M--	200	added ('OK')	image/jpeg	etag:%220446f66facaa475b6ecf5a7989effcee%22	http://product.hstatic.net/1000075078/product/1638440015_banh-mi-vietnam_64add738e0084e9992ad03ce58b2042e_grande.jpg	D:/Httrack/Demo1/product.hstatic.net/1000075078/product/1638440015_banh-mi-vietnam_64add738e0084e9992ad03ce58b2042e_grande.jpg	(from https://thecoffeehouse.com/products/banh-mi-vn-thit-nguoi)
21:40:43	79249/79249	---M--	200	added ('OK')	image/jpeg	etag:%22a057dc2d3408e5a2cf5199a0fb9d515d%22	https://product.hstatic.net/1000075078/product/1650529462_hi-tea-vai-1_06b8cf572da64859b258f9a735c674e5.jpg	D:/Httrack/Demo1/product.hstatic.net/1000075078/product/1650529462_hi-tea-vai-1_06b8cf572da64859b258f9a735c674e5.jpg	(from https://thecoffeehouse.com/products/hi-tea-vai)
21:40:47	17541/17541	---M--	200	added ('OK')	image/jpeg	etag:%228290b2e96a9a925ce365caf8e5529d92%22	http://product.hstatic.net/1000075078/product/1655348107_mochi-choco_4fbd68222fbc4f3e937d5dfed211383d_grande.jpg	D:/Httrack/Demo1/product.hstatic.net/1000075078/product/1655348107_mochi-choco_4fbd68222fbc4f3e937d5dfed211383d_grande.jpg	(from https://thecoffeehouse.com/products/mochi-kem-chocolate)
21:40:53	28332/28332	---M--	200	added ('OK')	application/x-font-ttf	etag:%22882ffe4ff354d2a25aeec6c5a616f465%22	http://theme.hstatic.net/1000075078/1000989727/14/gladifilthefte.ttf	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/gladifilthefte.ttf	(from http://theme.hstatic.net/1000075078/1000989727/14/cloudtea.scss.css?v=49)
